"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.82960987091065","3.29140996932983","0.519829988479614","1.94416999816895","2.75967001914978","2.03861999511719","0.536949992179871","1.65373003482819","3.47341990470886","2.63326001167297","0.859709978103638","","","","","1.75539994239807","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","72.4855194091797","","","","","","","","","","","","","","","","","","","68.7715530395508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","47.3365097045898","50.6850090026855","","","","","","","","","","","","","","","51.4186706542969","","","","","","","","","","11.1943702697754","12.3820295333862","11.8253032356237","12.3548898696899","","","","","","","","","","","","36.7621509877511","","",
"Albania","ALB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.06715989112854","3.1405599117279","3.11346006393433","","1.33887004852295","3.56275010108948","","","","6.73450994491577","5.63090991973877","6.21745775060864","4.50201361249146","2.83354410369902","3.15806658979827","0.383619986322272","0.17577743160329","0.116127897354125","0.687000421293572","1.36746172318297","2.1948544292611","3.96765995025635","6.66523736600306","8.47796728855099","10.8653233005994","0.487619996070862","",
"Andorra","AND","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.35560035705566","8.70213031768799","6.68666982650757","6.36901998519897","6.01929998397827","7.06861019134521","8.19291973114014","7.16157007217407","6.75347995758057","0.180910006165505","2.41476988792419","",
"Arab World","ARB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","20.5120697021484","","23.605260848999","26.977560043335","19.7480297088623","23.9225406646729","24.8517398834229","26.5015201568604","26.835319519043","17.9621601104736","15.7176504135132","11.5675201416016","7.60713005065918","6.07474994659424","7.95866012573242","10.2623195648193","10.9724702835083","9.4829797744751","11.9891901016235","14.8895797729492","10.0039501190185","7.83960008621216","","","","","7.49269008636475","8.15991973876953","7.63355016708374","","","","","","","","","","","","0.91313244200475","0.210391466088542","0.120099650250343","0.295246591684059","0.0034098408005504","0.176064095760476","0.0038698924709","",
"Argentina","ARG","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","5.4071102142334","","","","2.82587003707886","3.22059011459351","","","","","","","","","","","","2.40956997871399","","","","4.16728019714355","","","","","","0","0.732620000839233","0.843479990959167","0.541800022125244","0.586939990520477","0.579219996929169","0.505909979343414","0.124030001461506","0.282070010900497","0.438419997692108","0.555310010910034","0.481610000133514","0.457100003957748","0.17116501610443","0.0094675036029475","0.0208660104068756","0.0693676303766887","0.201323988055031","0.316380499170974","0.514204110325914","0.58172648204325","0.640150279234801","0.619989140117256","0.831545735498041","0.794044917044044","0.747436006133423","0.734622127960727","","",
"Armenia","ARM","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.39183044433594","7.308189868927","","6.77396011352539","4.33794021606445","1.81366002559662","","","","4.98233985900879","5.37150001525879","5.93837022781372","8.25212001800537","7.02592992782593","7.42097111001022","7.14211405596931","7.48834918804651","8.4054314226094","8.8741539217861","7.20160981451873","5.35996515462635","3.5092235630957","1.08414540949338","",
